,Main title,property_type,monthly_rent,bills,property_features,deposit,property_rules
0,Modern room for rent in apartment with 4 bedrooms in Treptow-Köpenick,"Room
4
flatmates
1
bathrooms
65
m2","Monthly rent
489 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Exterior
Equipped kitchen
Balcony or terrace
Parking available
Central water heating
Heating
Oven
65 m2",2 months' rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
1,Cozy room with single bed for rent in Adlershof,"Room
4
flatmates
1
bathrooms
67
m2","Monthly rent
499 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Interior
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven
67 m2",2 months' rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
2,Comfortable beds for rent in shared room in 2-bedroom apartment in Tempelhof-Schöneberg,"Room
4
flatmates
1
bathrooms
50
m2","Room
Price shown is per bed. Other beds may be rented to people you do not know.","Bills
Electricity
Included
Water
Included
Gas
No gas
Wifi
Not included
Pay the Landlord 13€/month/room","Furnished
Washing machine
Dryer
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Pet-friendly
Central water heating
Heating
Oven
50 m2",300€,"Landlord policies
Pets: Some pets are allowed. Please include your animal friend in your booking request.
Payment method: cash; bank transfer
Possibility of domiciliation: yes
Check-in/out:
Check-in hours: 10:00-17:00 during weekdays
Check in fee: €50 per person
Out of hours check-in: €100 per person
Check-out cleaning fee: €38 per Person (payable at check-out)
Required documentation:
ID / Passport
University acceptance letter (if applicable)
Your landlord speaks: English, German
Your landlord does not live on the property"
3,Furnished studio apartment for rent in Charlottenburg-Wilmersdorf,"Apartment
1
bedrooms","Monthly rent
1100 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
A/C
TV
Washing machine
Dryer
Interior
Elevator
Equipped kitchen
Parking available
Pet-friendly
Central water heating
Heating
Oven",1 month's rent,"Landlord policies
Languages spoken: English, German
Lives on property: no
Smoking: allowed on balcony only
Pets: some pets are allowed, please include your animal friend when making your booking request
Deposit: 1 month’s rent
Payment method: cash; bank transfer
Possibility of domiciliation: yes
Check-in/out:
Check-in hours: from 8am to 6pm
Check-out hours: from 8am to 6pm
Check-out cleaning fee: €55 (payable at check-out)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)"
4,Beds for rent in 2-bedroom apartment in Tempelhof-Schöneberg,"Room
4
flatmates
1
bathrooms
50
m2","Room
Price shown is per bed. Other beds may be rented to people you do not know.","Bills
Electricity
Included
Water
Included
Gas
No gas
Wifi
Not included
Pay the Landlord 13€/month/room","Furnished
Washing machine
Dryer
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Pet-friendly
Central water heating
Heating
Oven
50 m2",300€,"Landlord policies
Pets: Some pets are allowed. Please include your animal friend in your booking request.
Payment method: cash; bank transfer
Possibility of domiciliation: yes
Check-in/out:
Check-in hours: 10:00-17:00 during weekdays
Check in fee: €50 per person
Out of hours check-in: €100 per person
Check-out cleaning fee: €38 per Person (payable at check-out)
Required documentation:
ID / Passport
University acceptance letter (if applicable)
Your landlord speaks: English, German
Your landlord does not live on the property"
5,Cozy studio apartment for rent in students' hall in Lichtenberg,"Studio
20
m2","Monthly rent
599 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Dryer
Elevator
Equipped kitchen
Balcony or terrace
Doorman/Reception
Central water heating
Heating
20 m2",2 months' rent,"Landlord policies
Languages spoken: English, Spanish, German
Payment method: bank transfer; credit card
Registration possible
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Please note that you need to pay the deposit and check-out cleaning fee within 5 days after your booking is confirmed.
If your reservation is very short notice, the deposit payment may be due earlier. The payment must be received on the landlord's account before moving in."
6,Rooms for rent in shared apartment in new build in Wedding,"Room
4
flatmates
1
bathrooms","Monthly rent
550 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Other heating system
Oven",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
7,"Furnished room in shared apartment, Treptow-Köpenick, Berlin","Room
9
flatmates
1
bathrooms","Monthly rent
589 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Exterior
Equipped kitchen
Balcony or terrace
Parking available
Central water heating
Heating
Oven",2 months' rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
8,Room for rent in apartment with 4 bedrooms in Berlin,"Room
4
flatmates
2
bathrooms","Monthly rent
540 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Dryer
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Other heating system
Oven",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
9,"Furnished room in shared apartment, Treptow-Köpenick, Berlin","Room
4
flatmates
1
bathrooms","Monthly rent
589 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Exterior
Equipped kitchen
Balcony or terrace
Parking available
Central water heating
Heating
Oven",2 months' rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
10,Rooms for rent in shared apartment in new build in Wedding,"Room
4
flatmates
2
bathrooms","Monthly rent
490 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Dryer
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Other heating system
Oven",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
11,Whole 2 bedrooms apartment in Berlin,"Apartment
2
bedrooms
1
bathrooms
44
m2","Monthly rent
1000 €","Bills
Electricity
Included
Included up to 100€/month
Water
Included
Included up to 50€/month
Gas
Not included
Estimation requested to Landlord
Wifi
No internet","Furnished
Washing machine
Equipped kitchen
Central water heating
Heating
Clothes dryer
Oven
44 m2",3 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
